id,type,name,status,description,start,duration,end,epic
5,TASK,Задача 1 - вновь созданная,DONE,Купить много продуктов, , , 
6,TASK,Задача 3,NEW,Вынести мусор3,2024-05-12 12:15,10,2024-05-12 12:25
7,TASK,Задача 2 - обновленная,IN_PROGRESS,Вынести весь мусор,2024-06-05 11:27,40,2024-06-05 12:07
13,TASK,Задача 8,NEW,Вынести мусор опять?, , , 
1,EPIC,Тестовый эпик,NEW,Описание,2024-05-01 12:20,5,2024-05-01 12:25
3,EPIC,Ремонт2,NEW,Сделать ремонт2, , , 
8,EPIC,Ремонт2,IN_PROGRESS,Сделать ремонт2,2024-05-25 12:30,179,2024-05-29 13:29
11,EPIC,Отпуск,NEW,Запланировать путешествие, , , 
2,SUBTASK,Test 1,NEW,Testing task 1,2024-05-01 12:20,5,2024-05-01 12:25,1
9,SUBTASK,Стены2,NEW,Шпаклюем и штукатурим,2024-05-29 12:00,89,2024-05-29 13:29,8
10,SUBTASK,Мебель,DONE,Заказать,2024-05-25 12:30,90,2024-05-25 14:00,8
12,SUBTASK,Билеты,NEW,Найти выгодные даты, , , ,11
